,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
1323,6/23/2001,Jun,2001,Wildfire,0,0,California,1
1324,6/23/2001,Jun,2001,Wildfire,0,565000,California,1
1325,6/23/2001,Jun,2001,Wildfire,0,50000,California,1
1326,6/24/2001,Jun,2001,Wildfire,0,150000,California,1
1327,6/24/2001,Jun,2001,Wildfire,0,0,California,1
1328,6/24/2001,Jun,2001,Wildfire,0,25000,California,1
1329,6/26/2001,Jun,2001,Wildfire,0,0,California,1
1330,6/26/2001,Jun,2001,Wildfire,0,0,California,1
1331,6/29/2001,Jun,2001,Wildfire,1,0,California,1
1332,6/29/2001,Jun,2001,Wildfire,0,0,California,1
1333,6/30/2001,Jun,2001,Wildfire,0,0,California,1
1334,7/1/2001,Jul,2001,Wildfire,0,27000,California,1
1335,7/1/2001,Jul,2001,Wildfire,0,0,California,1
1336,7/1/2001,Jul,2001,Wildfire,0,0,California,1
1337,7/1/2001,Jul,2001,Wildfire,0,0,California,1
1338,7/1/2001,Jul,2001,Wildfire,0,0,California,1
1339,7/3/2001,Jul,2001,Wildfire,0,0,California,1
1340,7/7/2001,Jul,2001,Wildfire,0,0,California,1
1341,7/7/2001,Jul,2001,Wildfire,0,0,California,1
1342,7/9/2001,Jul,2001,Wildfire,0,0,California,1
1343,7/11/2001,Jul,2001,Wildfire,0,0,California,1
1344,7/11/2001,Jul,2001,Wildfire,0,150000,California,1
1345,7/12/2001,Jul,2001,Wildfire,0,0,California,1
1346,7/13/2001,Jul,2001,Wildfire,0,350000,California,1
1347,7/17/2001,Jul,2001,Wildfire,0,0,California,1
1348,7/24/2001,Jul,2001,Wildfire,0,0,California,1
1349,7/27/2001,Jul,2001,Wildfire,0,5000000,California,1
1350,7/30/2001,Jul,2001,Wildfire,0,0,California,1
1351,8/1/2001,Aug,2001,Wildfire,0,0,California,1
1352,8/1/2001,Aug,2001,Wildfire,0,0,California,1
1353,8/7/2001,Aug,2001,Wildfire,0,777800,California,1
1354,8/10/2001,Aug,2001,Wildfire,0,0,California,1
1355,8/10/2001,Aug,2001,Wildfire,0,0,California,1
1356,8/14/2001,Aug,2001,Wildfire,0,0,California,1
1357,8/17/2001,Aug,2001,Wildfire,0,0,California,1
1358,8/18/2001,Aug,2001,Wildfire,0,800000,California,1
1359,8/19/2001,Aug,2001,Wildfire,0,3600000,California,1
1360,8/20/2001,Aug,2001,Wildfire,0,6060000,California,1
1361,8/25/2001,Aug,2001,Wildfire,0,4100000,California,1
1362,8/26/2001,Aug,2001,Wildfire,0,0,California,1
1363,8/28/2001,Aug,2001,Wildfire,0,0,California,1
1364,9/1/2001,Sep,2001,Wildfire,0,3500000,California,1
1365,9/1/2001,Sep,2001,Wildfire,0,0,California,1
1366,9/4/2001,Sep,2001,Wildfire,0,0,California,1
1367,9/9/2001,Sep,2001,Wildfire,0,0,California,1
1368,9/15/2001,Sep,2001,Wildfire,0,0,California,1
1369,9/16/2001,Sep,2001,Wildfire,0,10000,California,1
1370,9/23/2001,Sep,2001,Wildfire,0,50000,California,1
1371,9/24/2001,Sep,2001,Wildfire,0,0,California,1
1372,9/24/2001,Sep,2001,Wildfire,0,200000,California,1
1373,9/24/2001,Sep,2001,Wildfire,0,0,California,1
1374,9/24/2001,Sep,2001,Wildfire,0,0,California,1
1375,9/25/2001,Sep,2001,Wildfire,0,0,California,1
1376,9/27/2001,Sep,2001,Wildfire,0,144000,California,1
1377,10/1/2001,Oct,2001,Wildfire,0,0,California,1
1378,10/1/2001,Oct,2001,Wildfire,0,0,California,1
1379,10/9/2001,Oct,2001,Wildfire,0,0,California,1
1380,10/12/2001,Oct,2001,Wildfire,0,0,California,1
1381,10/12/2001,Oct,2001,Wildfire,0,0,California,1
1382,10/12/2001,Oct,2001,Wildfire,0,0,California,1
1383,10/12/2001,Oct,2001,Wildfire,0,0,California,1
1384,10/26/2001,Oct,2001,Wildfire,0,0,California,1
1385,12/8/2001,Dec,2001,Wildfire,0,0,California,1
1386,12/27/2001,Dec,2001,Wildfire,0,2000000,California,1
1387,1/11/2002,Jan,2002,Wildfire,0,0,California,1
1388,1/23/2002,Jan,2002,Wildfire,0,0,California,1
1389,1/24/2002,Jan,2002,Wildfire,0,0,California,1
1390,2/9/2002,Feb,2002,Wildfire,0,45000,California,1
1391,2/9/2002,Feb,2002,Wildfire,0,0,California,1
1392,2/9/2002,Feb,2002,Wildfire,0,10000,California,1
1393,2/9/2002,Feb,2002,Wildfire,0,0,California,1
1394,2/10/2002,Feb,2002,Wildfire,0,1200000,California,1
1395,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1396,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1397,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1398,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1399,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1400,2/10/2002,Feb,2002,Wildfire,0,0,California,1
1401,3/2/2002,Mar,2002,Wildfire,0,16000000,California,1
1402,3/17/2002,Mar,2002,Wildfire,0,5000,California,1
1403,3/21/2002,Mar,2002,Wildfire,0,0,California,1
1404,4/9/2002,Apr,2002,Wildfire,0,0,California,1
1405,4/21/2002,Apr,2002,Wildfire,0,50000,California,1
1406,5/2/2002,May,2002,Wildfire,0,0,California,1
1407,5/3/2002,May,2002,Wildfire,0,0,California,1
1408,5/9/2002,May,2002,Wildfire,0,0,California,1
1409,5/11/2002,May,2002,Wildfire,0,0,California,1
1410,5/12/2002,May,2002,Wildfire,0,0,California,1
1411,5/13/2002,May,2002,Wildfire,0,0,California,1
